sl no,Reviews,Label
1,"I am writing this review after 3 month of use I love itâ€™s size, smoothness and can say Best phone ever made by apple till now, whole day battery life in an I phone is amazing",1
2,iPhone as always is Stunning and Excellent gadget to have.I love the size and Battery Life is alsoðŸ‘Œ.,1
,"I upgraded from ip xr to ip 16 honestly I only noticed the performance,display and camera it wasnâ€™t like â€œwow this is amazing â€œ but yeah it was worth and upgrade and i have noticed it heats up a bit more than my old phone and overall itâ€™s quite good. I would say go for it if you want a long lasting phone",1
,excellent phone. looks beautiful too.,1
,"Good, user friendly , battery is good,",1
,Sound quality is great btw.,1
,initially ios 18 was having hiccups but ios 18.5 has got some smoothness in performance back.,1
,"The battery is better, Itâ€™s faster, camera has some additional features - but pretty much the same old same old beyond that ",1
,Satisfied,1
,"Super and cool photo
",1
,Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,1
,,
,Overall experience of the mobile phone is good but the phone was delivered with scratches which I think new phones should not have had any.,0.5
,I havenâ€™t received iPhone manual inside the box,0.5
,"Well,everythingâ€™s going great then sudden it falls from my car when i was sat on a car seat and its broke!!! Totally broke my screen it just been 2 months",0.5
,Battery is weak even in the initial stage of purchase. Very bad standard for iPhone products. Withstanding for one day is difficult,0.5
,Just a gift for my wife. Still value for money. Working fine. But it cost for brand value.,0.5
,Battery drains fast and heating issues.,0.5
,"Software issue out of the box and Flipkart had better offers, try store offers they offer more. Got my another device from store which worked 5k cheaper than online.",0.5
,Very expensive and not worthy of money,0.5
,Android better than this phone,0.5
,It is injustice to supply on a bare mobile phone without giveing a charger and screen protector,0.5
,Poor battery in mobile,0.5
,,
,,
,Prolonged gaming causes heating issue.,0.1
,The box which i received is damaged and I have not opened the box and requested for cancellation of this product,0.1
,"I was an android user, it's price is not worth at all. this is my genuine review. if u are android user don't go for iPhone. don't waste money. buy samsung s series phone instead of buying iphone.",0.1
,"The battery doesn't last more than 4 hours, there is heating problem from the day one. Also, it gives electric shock when on charge. the Camera quality also seems to be poor compared to Iphone used by my friends. I am not sure if this is duplicate phone.",0.1
,Disappointed â€“ Brand New iPhone 16â€™s Front Camera Stopped Working in a Week,0.1
,It is a very poor and demage product please help me as a possible,0.1
,"Product is good, but the delivery agent is too irresponsible one, not delivered to me in my door step, I collected the item from there hub 23km away from my side",0.1
,Third class phone heating and lagging a lot Didn't expect this,0.1
,It is very small size. I want to replace/ return it. Please return it give the option to buy another big size iphone 16. Amazon CS not helping for this and denied to return/ replace.,0.1
,Damage product received my pikup has been done but I have not received my refund,0.1